time,pitch
0.0,0.0
0.06,0.0
0.12,0.0
0.18,0.0
0.24,0.0
0.3,0.0
0.36,0.0
0.42,0.0
0.48,0.0
0.54,0.0
0.6,0.0
0.6599999999999999,0.0
0.72,0.0
0.78,0.0
0.84,0.0
0.8999999999999999,0.0
0.96,0.0
1.02,0.0
1.08,0.0
1.14,0.0
1.2,0.0
1.26,0.0
1.3199999999999998,0.0
1.38,0.0
1.44,0.0
1.5,0.0
1.56,0.0
1.6199999999999999,0.0
1.68,0.0
1.74,0.0
1.7999999999999998,0.0
1.8599999999999999,0.0
1.92,0.0
1.98,0.0
2.04,0.0
2.1,0.0
2.16,0.0
2.2199999999999998,0.0
2.28,0.0
2.34,0.0
2.4,0.0
2.46,0.0
2.52,0.0
2.58,0.0
2.6399999999999997,0.0
2.6999999999999997,0.0
2.76,0.0
2.82,0.0
2.88,0.0
2.94,0.0
3.0,0.0
3.06,0.0
3.12,0.0
3.1799999999999997,0.0
3.2399999999999998,0.0
3.3,0.0
3.36,0.0
3.42,0.0
3.48,0.0
3.54,0.0
3.5999999999999996,0.0
3.6599999999999997,0.0
3.7199999999999998,0.0
3.78,0.0
3.84,0.0
3.9,0.0
3.96,0.0
4.02,0.0
4.08,0.0
4.14,0.0
4.2,0.0
4.26,0.0
4.32,0.0
4.38,0.0
4.4399999999999995,0.0
4.5,0.0
4.56,0.0
4.62,0.0
4.68,0.0
4.74,0.0
4.8,0.0
4.859999999999999,0.0
4.92,0.0
4.9799999999999995,0.0
5.04,0.0
5.1,0.0
5.16,0.0
5.22,0.0
5.279999999999999,0.0
5.34,0.0
5.3999999999999995,0.0
5.46,0.0
5.52,0.0
5.58,0.0
5.64,0.0
5.7,0.0
5.76,0.0
5.819999999999999,0.0
5.88,0.0
5.9399999999999995,0.0
6.0,0.0
6.06,0.0
6.12,0.0
6.18,0.0
6.24,0.0
6.3,0.0
6.359999999999999,0.0
6.42,0.0
6.4799999999999995,0.0
6.54,0.0
6.6,0.0
6.66,0.0
6.72,0.0
6.779999999999999,0.0
6.84,0.0
6.8999999999999995,0.0
6.96,0.0
7.02,0.0
7.08,0.0
7.14,0.0
7.199999999999999,0.0
7.26,0.0
